cod_estd,secuencial,tip_movi,tip_naci,anio_movi,mes_movi,dia_movi,sex_migr,nac_migr,subcont_nac,cont_nac,via_tran,mot_viam,pais_prod,subcont_prod,cont_prod,lug_prod,pais_res,subcont_res,cont_res,jef_migr,pro_jefm,can_jefm,cla_migr,ocu_migr,edad,pais_esc,lug_esc
esi,010000001,Salida,Extranjero,2018,Enero,1,Mujer,Costa Rica,América Central,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Sin especificar,35,Estados Unidos de América,New York New York
esi,010000002,Salida,Extranjero,2018,Enero,1,Hombre,Canadá,América del Septentrional,América,Vía Aérea,Residencia,Canadá,América del Septentrional,América,Toronto,Canadá,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Sin especificar,42,Panamá,Panamá City
esi,010000003,Entrada,Ecuatoriano,2018,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,España,Europa Meridional,Europa,Madrid,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Ingenieros no clasificados bajo otros epigrafes,36,España,Madrid
esi,010000004,Entrada,Extranjero,2018,Enero,1,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Atlanta Georgia,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Sin Especificar,Estudiantes,24,Estados Unidos de América,Atlanta Georgia
esi,010000005,Entrada,Extranjero,2018,Enero,1,Mujer,Colombia,América del Sur,América,Vía Aérea, Turismo,Colombia,América del Sur,América,Cali,Ecuador,América del Sur,América,Aeropuerto Transfronterizo Coronel Carlos Concha Torres,Esmeraldas,Esmeraldas,Inmigrantes 10-V,Sin especificar,42,Colombia,Cali
esi,010000006,Entrada,Ecuatoriano,2018,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Perú,América del Sur,América,Lima,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Profesionales de enfermeria,57,Argentina,Buenos Aires
esi,010000007,Entrada,Ecuatoriano,2018,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Argentina,América del Sur,América,Córdoba,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Menores de edad,17,Perú,Lima
esi,010000008,Entrada,Extranjero,2018,Enero,1,Mujer,España,Europa Meridional,Europa,Vía Aérea, Turismo,España,Europa Meridional,Europa,Barcelona,España,Europa Meridional,Europa,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Menores de edad,8,España,Madrid
esi,010000009,Salida,Ecuatoriano,2018,Enero,1,Hombre,Ecuador,América del Sur,América,Vía Aérea,Residencia,España,Europa Meridional,Europa,Madrid,España,Europa Meridional,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Desarrolladores de software,29,España,Madrid
esi,010000010,Salida,Ecuatoriano,2018,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,España,Europa Meridional,Europa,Madrid,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Amas de casa,53,España,Madrid
esi,010000011,Salida,Extranjero,2018,Enero,1,Mujer,Estados Unidos de América,América del Septentrional,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Sin especificar,54,Colombia,Bogotá Dc
esi,010000012,Entrada,Ecuatoriano,2018,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,New York New York,Ecuador,América del Sur,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,Clase migratoria para ecuatorianos,Sin especificar,31,Estados Unidos de América,New York New York
esi,010000013,Salida,Extranjero,2018,Enero,1,Hombre,China,Asia Oriental,Asia,Vía Aérea,Residencia,Estados Unidos de América,América del Septentrional,América,Boston Massachusetts,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Sin especificar,28,Estados Unidos de América,Miami Florida
esi,010000014,Entrada,Ecuatoriano,2018,Enero,1,Mujer,Ecuador,América del Sur,América,Vía Aérea,Residencia,Panamá,América Central,América,Panamá City,Ecuador,América del Sur,América,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Clase migratoria para ecuatorianos,Jubilados y pensionistas,72,Panamá,Panamá City
esi,010000015,Entrada,Extranjero,2018,Enero,1,Hombre,Estados Unidos de América,América del Septentrional,América,Vía Aérea, Turismo,Estados Unidos de América,América del Septentrional,América,Miami Florida,Estados Unidos de América,América del Septentrional,América,Aeropuerto Internacional José Joaquín de Olmedo,Guayas,Guayaquil,No inmigrante T-3,Estudiantes,28,Estados Unidos de América,Miami Florida
esi,010000016,Entrada,Extranjero,2018,Enero,1,Mujer,España,Europa Meridional,Europa,Vía Aérea,Otros,España,Europa Meridional,Europa,Madrid,España,Europa Meridional,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,Sin Especificar,Menores de edad,1,España,Madrid
esi,010000017,Salida,Extranjero,2018,Enero,1,Mujer,Reino Unido,Europa Septentrional,Europa,Vía Aérea,Residencia,Reino Unido,Europa Septentrional,Europa,London,Reino Unido,Europa Septentrional,Europa,Aeropuerto Internacional Mariscal Sucre,Pichincha,Quito,No inmigrante T-3,Menores de edad,10,Colombia,Bogotá Dc
